silo_ID;destination_cod;destination_mun;destination_state;destination_biome;destination_lat;destination_long;destination_cnpj;destination_company;destination_dt;company_group;asset_risk
617;BR-4320909;TAPEJARA;RS;ATLANTIC FOREST;-28.093;-52.066;2990000000000.0;AGRODANIELI IND E COMERCIO LTDA;b1.1;other;Negligible
618;BR-4320909;TAPEJARA;RS;ATLANTIC FOREST;-28.093;-52.033;93500000000000.0;COOP AGRICOLA AGUA SANTA LTDA;b1.4;other;Negligible
619;BR-4305504;CIRIACO;RS;ATLANTIC FOREST;-28.289;-51.959;93500000000000.0;COOP AGRICOLA AGUA SANTA LTDA;b1.4;other;Negligible
620;BR-4309803;IBIACA;RS;ATLANTIC FOREST;-28.056;-51.846;90100000000000.0;PLANALTO COMERCIO DE CEREAIS LTD;b1.4;other;Negligible
621;BR-4311304;LAGOA VERMELHA;RS;ATLANTIC FOREST;-28.203;-51.527;2990000000000.0;BOCCHI INDUSTRIA COMERCIO TRANSPORTE BENEFICIAMENTO DE CEREAIS LTDA;b1.4;other;Negligible
622;BR-4311304;LAGOA VERMELHA;RS;ATLANTIC FOREST;-28.187;-51.526;91500000000000.0;COTRIJAL COOPERATIVA AGROPECUARIA E INDUSTRIAL;b1.4;other;Negligible
623;BR-4311304;LAGOA VERMELHA;RS;ATLANTIC FOREST;-28.209;-51.526;5440000000000.0;GNG  GRANJA NOVA GERACAO LTDA;b1.4;other;Negligible
624;BR-4205308;FAXINAL DOS GUEDES;SC;ATLANTIC FOREST;-26.844;-52.259;15300000000000.0;COOPERATIVA AGROINDUSTRIAL RESERVA VERDE;b1.4;other;Negligible
625;BR-4205308;FAXINAL DOS GUEDES;SC;ATLANTIC FOREST;-26.862;-52.238;13400000000000.0;CEREALISTA BRAVO  DAGA LTDA ME;b1.4;other;Negligible
626;BR-4314464;PINHAL DA SERRA;RS;ATLANTIC FOREST;-27.951;-51.199;91500000000000.0;COTRIJAL COOPERATIVA AGROPECUARIA E INDUSTRIAL;b1.4;other;Negligible
627;BR-4322509;VACARIA;RS;ATLANTIC FOREST;-28.253;-51.011;7330000000000.0;CHAPADA GRAOS COMIMP E EXP LTDA;b1.4;other;Negligible
628;BR-4202602;BOM RETIRO;SC;ATLANTIC FOREST;-27.685;-49.734;83200000000000.0;COOPERATIVA REGIONAL AGROPECUARIA DE CAMPOS NOVOS  COPERCAMPOS;b1.4;other;Negligible
629;BR-4207403;IMBUIA;SC;ATLANTIC FOREST;-27.527;-49.376;3600000000000.0;COMERCIO DE CEREAIS MOANA E EDUARDA  ME;b1.4;other;Negligible
630;BR-4310207;IJUI;RS;ATLANTIC FOREST;-28.4;-53.925;90200000000000.0;COPAGRIL COMERCIAL AGRICOLA PICCOLI LTDA;b1.4;other;Negligible
631;BR-4314308;PEJUCARA;RS;ATLANTIC FOREST;-28.414;-53.656;94800000000000.0;TRES TENTOS AGROINDUSTRIAL SA;b1.4;other;Negligible
632;BR-4316709;SANTA BARBARA DO SUL;RS;PAMPA;-28.386;-53.246;94800000000000.0;TRES TENTOS AGROINDUSTRIAL SA;b1.1, b1.4, b2.1;other;Negligible
633;BR-4316709;SANTA BARBARA DO SUL;RS;PAMPA;-28.394;-53.238;90700000000000.0;COOPERATIVA AGRICOLA MISTA GENERAL OSORIO LTDA;b1.1, b1.2, b1.4;other;Negligible
634;BR-4310009;IBIRUBA;RS;ATLANTIC FOREST;-28.513;-53.086;90700000000000.0;COOPERATIVA AGRICOLA MISTA GENERAL OSORIO LTDA;b1.1, b1.2, b1.4, b2.1, b2.2;other;Negligible
635;BR-4321006;TAPERA;RS;ATLANTIC FOREST;-28.66140763;-52.86146066;90200000000000.0;GRANDESPE SEMENTES E AGRONEGOCIOS LTDA;b1.4;other;Negligible
636;BR-4321006;TAPERA;RS;ATLANTIC FOREST;-28.66140763;-52.86146066;77900000000000.0;CVALE  COOPERATIVA AGROINDUSTRIAL;b1.2, b2.2;other;Negligible
637;BR-4312658;NAO-ME-TOQUE;RS;ATLANTIC FOREST;-28.459417;-52.82491262;91500000000000.0;COTRIJAL COOPERATIVA AGROPECUARIA E INDUSTRIAL;b1.4;other;Negligible
638;BR-4311809;MARAU;RS;ATLANTIC FOREST;-28.368;-52.146;93500000000000.0;COOP AGRICOLA AGUA SANTA LTDA;b1.4;other;Negligible
639;BR-4308854;GENTIL;RS;ATLANTIC FOREST;-28.427;-52.04;9350000000000.0;UNNILODI AGRONEGOCIOS E CEREAIS LTDA;b1.4;other;Negligible
640;BR-4304903;CASCA;RS;ATLANTIC FOREST;-28.572;-51.964;92200000000000.0;D AGNOLUZZO E CIA LTDA;b1.4;other;Negligible
641;BR-4304903;CASCA;RS;ATLANTIC FOREST;-28.574;-51.964;94000000000000.0;MIG  PLUS AGROINDUSTRIAL LTDA;b1.1;other;Negligible
642;BR-4304903;CASCA;RS;ATLANTIC FOREST;-28.561;-51.946;32100000000000.0;BATISTELLO COMERCIO DE CEREAIS LTDA;b1.4;other;Negligible
643;BR-4309704;HUMAITA;RS;ATLANTIC FOREST;-27.57419445;-53.97961704;6170000000000.0;COMERCIAL AGRICOLA MAEHLER LTDA;b1.4;other;Negligible
644;BR-4305405;CHIAPETTA;RS;PAMPA;-27.919;-53.935;94800000000000.0;TRES TENTOS AGROINDUSTRIAL SA;b1.4;other;Negligible
645;BR-4310207;IJUI;RS;ATLANTIC FOREST;-28.3206628;-53.89508573;94800000000000.0;TRES TENTOS AGROINDUSTRIAL SA;b1.1, b1.4, b2.1;other;Negligible
646;BR-4310207;IJUI;RS;ATLANTIC FOREST;-28.3206628;-53.89508573;94700000000000.0;CISBRACOM IMP EXP CEREAIS SUL BRAS LTDA;b1.4;other;Negligible
647;BR-4317806;SANTO AUGUSTO;RS;PAMPA;-27.90320972;-53.75598329;20300000000000.0;IMACOL GRAOS LTDA;b1.4;other;Negligible
648;BR-4302600;BRAGA;RS;ATLANTIC FOREST;-27.5801159;-53.74303464;3040000000000.0;NILTON ARNO BRAUCKS;b1.4;other;Negligible
649;BR-4305900;CORONEL BICACO;RS;PAMPA;-27.79840428;-53.64595382;20300000000000.0;IMACOL GRAOS LTDA;b1.4;other;Negligible
650;BR-4315404;REDENTORA;RS;ATLANTIC FOREST;-27.57312898;-53.63327573;3040000000000.0;NILTON ARNO BRAUCKS;b1.4;other;Negligible
651;BR-4313904;PANAMBI;RS;ATLANTIC FOREST;-28.344;-53.542;94800000000000.0;TRES TENTOS AGROINDUSTRIAL SA;b1.4;other;Negligible
